team1_id,team1_score,team2_id,team2_score,WLoc,num_ot,team1_position,team2_position,team1_seed,team2_seed,strongseed,weakseed,team1_region,team2_region,slot,team1_teamname,team2_teamname,season,host,host_lat,host_long,team1_lat,team1_long,team2_lat,team2_long,team1_coach_id,team1_pt_school_ncaa,team1_pt_overall_ncaa,team1_pt_school_s16,team1_pt_overall_s16,team1_pt_school_ff,team1_pt_overall_ff,team1_pt_career_school_wins,team1_pt_career_school_losses,team1_pt_career_overall_wins,team1_pt_career_overall_losses,team1_pt_team_season_wins,team1_pt_team_season_losses,team1_pt_coach_season_wins,team1_pt_coach_season_losses,team2_coach_id,team2_pt_school_ncaa,team2_pt_overall_ncaa,team2_pt_school_s16,team2_pt_overall_s16,team2_pt_school_ff,team2_pt_overall_ff,team2_pt_career_school_wins,team2_pt_career_school_losses,team2_pt_career_overall_wins,team2_pt_career_overall_losses,team2_pt_team_season_wins,team2_pt_team_season_losses,team2_pt_coach_season_wins,team2_pt_coach_season_losses,team1_ap_final,team1_ap_preseason,team1_coaches_before_final,team1_coaches_preseason,team2_ap_final,team2_ap_preseason,team2_coaches_before_final,team2_coaches_preseason,team1_fg2pct,team1_fg3pct,team1_ftpct,team1_blockpct,team1_oppfg2pct,team1_oppfg3pct,team1_oppftpct,team1_oppblockpct,team1_f3grate,team1_oppf3grate,team1_arate,team1_opparate,team1_stlrate,team1_oppstlrate,team2_fg2pct,team2_fg3pct,team2_ftpct,team2_blockpct,team2_oppfg2pct,team2_oppfg3pct,team2_oppftpct,team2_oppblockpct,team2_f3grate,team2_oppf3grate,team2_arate,team2_opparate,team2_stlrate,team2_oppstlrate,team1_tempo,team1_adjtempo,team1_oe,team1_adjoe,team1_de,team1_adjde,team2_tempo,team2_adjtempo,team2_oe,team2_adjoe,team2_de,team2_adjde,game_id
1314,81,1181,77,N,0,W08,X02,8,2,2,8,W,X,R5WX,North Carolina,Duke,2022,new_orleans,29.9667,-90.05,35.912165,-79.050969,36.00159,-78.94226,hubert-davis-1,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9,24.0,9,24.0,9,24.0,9,mike-krzyzewski-1,35.0,35.0,25.0,25.0,12.0,12.0,1125.0,308,1198.0,367,28.0,6,28.0,6,,19,,20,9,9,10,9,50.7142857142857,36.2068965517241,77.2194304857621,9.8145285935085,48.2998454404946,34.9206349206349,73.6961451247166,8.49206349206349,37.4379344587885,36.8780487804878,53.6184210526316,48.0314960629921,0.0766915521470421,0.0938293291631409,55.8441558441558,36.8211920529801,72.8813559322034,13.2581100141044,46.8970380818054,31.3969571230982,67.1604938271605,8.0977845683728,36.5794573643411,33.7692666978048,56.9871159563925,51.7937219730942,0.0944484692371676,0.0910139794467252,70.2181,70.1745,109.416,113.035,100.974,96.9911,68.2765,67.4185,117.152,119.357,98.2346,95.6444,2022-1314-1181
1242,81,1437,65,N,0,Y01,Z02,1,2,1,2,Y,Z,R5YZ,Kansas,Villanova,2022,new_orleans,29.9667,-90.05,38.957351,-95.24587,40.039388,-75.345457,bill-self-1,17.0,22.0,10.0,13.0,3.0,3.0,550.0,124,757.0,229,28.0,6,28.0,6,jay-wright-1,15.0,17.0,7.0,7.0,3.0,3.0,516.0,196,638.0,281,26.0,7,26.0,7,3,3,3,3,6,4,5,4,54.5115585384042,35.5263157894737,72.4397590361446,10.4988830975428,47.8778853313477,30.0859598853868,70.7231040564374,7.82997762863535,33.7777777777778,34.1989220970113,53.9014373716632,47.4794841735053,0.0912186370554791,0.09749514877948,50.3489531405783,35.906432748538,82.3321554770318,7.17703349282297,48.2296650717703,31.0038119440915,74.5098039215686,10.8673978065803,46.0172228202368,42.9585152838428,49.0147783251232,50.0,0.0968756429474179,0.0728918672662611,69.5494,69.1275,111.605,119.388,97.191,93.9009,64.1915,62.5758,112.845,117.921,97.6798,93.8099,2022-1242-1437
1242,72,1314,69,N,0,Y01,W08,1,8,1,8,Y,W,R6CH,Kansas,North Carolina,2022,new_orleans,29.9667,-90.05,38.957351,-95.24587,35.912165,-79.050969,bill-self-1,17.0,22.0,10.0,13.0,3.0,3.0,550.0,124,757.0,229,28.0,6,28.0,6,hubert-davis-1,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9,24.0,9,24.0,9,24.0,9,3,3,3,3,,19,,20,54.5115585384042,35.5263157894737,72.4397590361446,10.4988830975428,47.8778853313477,30.0859598853868,70.7231040564374,7.82997762863535,33.7777777777778,34.1989220970113,53.9014373716632,47.4794841735053,0.0912186370554791,0.09749514877948,50.7142857142857,36.2068965517241,77.2194304857621,9.8145285935085,48.2998454404946,34.9206349206349,73.6961451247166,8.49206349206349,37.4379344587885,36.8780487804878,53.6184210526316,48.0314960629921,0.0766915521470421,0.0938293291631409,69.5494,69.1275,111.605,119.388,97.191,93.9009,70.2181,70.1745,109.416,113.035,100.974,96.9911,2022-1242-1314
1242,76,1274,50,N,0,Y01,Y10,1,10,1,10,Y,Y,R4Y1,Kansas,Miami FL,2022,chicago,41.8369,-87.6847,38.957351,-95.24587,25.720406,-80.27645,bill-self-1,17.0,22.0,10.0,13.0,3.0,3.0,550.0,124,757.0,229,28.0,6,28.0,6,jim-larranaga-1,4.0,9.0,2.0,3.0,0.0,1.0,223.0,140,665.0,449,23.0,10,23.0,10,3,3,3,3,,,,,54.5115585384042,35.5263157894737,72.4397590361446,10.4988830975428,47.8778853313477,30.0859598853868,70.7231040564374,7.82997762863535,33.7777777777778,34.1989220970113,53.9014373716632,47.4794841735053,0.0912186370554791,0.09749514877948,54.8360655737705,35.2855051244509,74.3169398907104,8.54402789886661,53.8796861377507,35.1677852348993,69.0987124463519,8.77049180327869,35.8906988964792,39.3763213530655,50.8791208791209,56.5909090909091,0.128379322877352,0.0787273896390729,69.5494,69.1275,111.605,119.388,97.191,93.9009,67.5221,67.3101,110.368,114.757,104.983,102.132,2022-1242-1274
1314,69,1389,49,N,0,W08,W15,8,15,8,15,W,W,R4W1,North Carolina,St Peter's,2022,philadelphia,39.95,-75.1667,35.912165,-79.050969,40.727105,-74.071541,hubert-davis-1,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9,24.0,9,24.0,9,24.0,9,shaheen-holloway-1,0.0,0.0,0.0,0.0,0.0,0.0,61.0,53,61.0,53,19.0,11,19.0,11,,19,,20,,,,,50.7142857142857,36.2068965517241,77.2194304857621,9.8145285935085,48.2998454404946,34.9206349206349,73.6961451247166,8.49206349206349,37.4379344587885,36.8780487804878,53.6184210526316,48.0314960629921,0.0766915521470421,0.0938293291631409,45.9165154264973,34.7916666666667,68.4654300168634,14.6090534979424,44.0329218106996,29.4223826714801,73.482428115016,13.1578947368421,30.3413400758533,36.3040629095675,51.5601783060921,51.6074450084602,0.10863368797279,0.105046726577462,70.2181,70.1745,109.416,113.035,100.974,96.9911,67.0262,65.9923,98.7557,98.7475,92.3289,94.4745,2022-1314-1389
1437,50,1222,44,N,0,Z02,Z05,2,5,2,5,Z,Z,R4Z1,Villanova,Houston,2022,san_antonio,29.4167,-98.5,40.039388,-75.345457,29.719988,-95.344851,jay-wright-1,15.0,17.0,7.0,7.0,3.0,3.0,516.0,196,638.0,281,26.0,7,26.0,7,kelvin-sampson-1,3.0,17.0,2.0,5.0,1.0,2.0,195.0,69,620.0,296,28.0,5,28.0,5,6,4,5,4,15,15,15,14,50.3489531405783,35.906432748538,82.3321554770318,7.17703349282297,48.2296650717703,31.0038119440915,74.5098039215686,10.8673978065803,46.0172228202368,42.9585152838428,49.0147783251232,50.0,0.0968756429474179,0.0728918672662611,55.2522746071133,34.1085271317829,66.8430335097002,17.7189409368635,43.1771894093686,29.287598944591,70.8469055374593,6.28618693134822,39.0317700453858,43.5632183908046,58.9055793991416,54.953560371517,0.123570500975406,0.0906183673819644,64.1915,62.5758,112.845,117.921,97.6798,93.8099,65.5297,64.0049,114.651,117.238,89.1213,91.368,2022-1437-1222
1181,78,1116,69,N,0,X02,X04,2,4,2,4,X,X,R4X1,Duke,Arkansas,2022,san_diego,32.715,-117.1625,36.00159,-78.94226,36.06153,-94.178214,mike-krzyzewski-1,35.0,35.0,25.0,25.0,12.0,12.0,1125.0,308,1198.0,367,28.0,6,28.0,6,eric-musselman-1,1.0,4.0,1.0,2.0,0.0,0.0,70.0,27,180.0,61,25.0,8,25.0,8,9,9,10,9,17,16,18,15,55.8441558441558,36.8211920529801,72.8813559322034,13.2581100141044,46.8970380818054,31.3969571230982,67.1604938271605,8.0977845683728,36.5794573643411,33.7692666978048,56.9871159563925,51.7937219730942,0.0944484692371676,0.0910139794467252,50.8745247148289,30.6569343065693,75.3298153034301,11.8965517241379,46.3793103448276,32.7978580990629,73.2142857142857,8.74524714828897,34.25,39.1714735186156,52.901023890785,54.4061302681992,0.106479596630234,0.0947877193531887,68.2765,67.4185,117.152,119.357,98.2346,95.6444,72.0273,70.6005,106.057,111.046,94.3928,92.0063,2022-1181-1116
1389,67,1345,64,N,0,W15,W03,15,3,3,15,W,W,R3W2,St Peter's,Purdue,2022,philadelphia,39.95,-75.1667,40.727105,-74.071541,40.428206,-86.914435,shaheen-holloway-1,0.0,0.0,0.0,0.0,0.0,0.0,61.0,53,61.0,53,19.0,11,19.0,11,matt-painter-1,12.0,13.0,5.0,5.0,0.0,0.0,382.0,190,407.0,195,27.0,6,27.0,6,,,,,10,7,9,7,45.9165154264973,34.7916666666667,68.4654300168634,14.6090534979424,44.0329218106996,29.4223826714801,73.482428115016,13.1578947368421,30.3413400758533,36.3040629095675,51.5601783060921,51.6074450084602,0.10863368797279,0.105046726577462,56.0592850915432,39.4594594594595,70.3918722786647,10.0,49.0598290598291,33.6217552533993,72.3970944309927,6.71316477768091,39.2156862745098,40.8792319353209,59.0374331550802,53.0732860520095,0.0688499139376076,0.0841498948126315,67.0262,65.9923,98.7557,98.7475,92.3289,94.4745,66.5745,65.8191,119.206,121.983,102.091,99.2547,2022-1389-1345
1242,66,1344,61,N,0,Y01,Y04,1,4,1,4,Y,Y,R3Y1,Kansas,Providence,2022,chicago,41.8369,-87.6847,38.957351,-95.24587,41.844064,-71.43792,bill-self-1,17.0,22.0,10.0,13.0,3.0,3.0,550.0,124,757.0,229,28.0,6,28.0,6,ed-cooley-1,5.0,5.0,0.0,0.0,0.0,0.0,219.0,140,311.0,209,25.0,5,25.0,5,3,3,3,3,13,,13,,54.5115585384042,35.5263157894737,72.4397590361446,10.4988830975428,47.8778853313477,30.0859598853868,70.7231040564374,7.82997762863535,33.7777777777778,34.1989220970113,53.9014373716632,47.4794841735053,0.0912186370554791,0.09749514877948,49.566055930569,34.2723004694836,72.6006191950464,9.85178727114211,46.6434176111595,31.2210200927357,70.9129511677282,9.93249758919962,38.126491646778,36.0646599777035,54.0245566166439,46.2686567164179,0.0747603398872406,0.0896133875469573,69.5494,69.1275,111.605,119.388,97.191,93.9009,66.0606,65.2257,106.471,111.928,99.604,98.0488,2022-1242-1344
1314,73,1417,66,N,0,W08,W04,8,4,4,8,W,W,R3W1,North Carolina,UCLA,2022,philadelphia,39.95,-75.1667,35.912165,-79.050969,34.068892,-118.443901,hubert-davis-1,0.0,0.0,0.0,0.0,0.0,0.0,24.0,9,24.0,9,24.0,9,24.0,9,mick-cronin-1,1.0,12.0,1.0,2.0,1.0,1.0,66.0,29,431.0,200,25.0,7,25.0,7,,19,,20,11,2,12,2,50.7142857142857,36.2068965517241,77.2194304857621,9.8145285935085,48.2998454404946,34.9206349206349,73.6961451247166,8.49206349206349,37.4379344587885,36.8780487804878,53.6184210526316,48.0314960629921,0.0766915521470421,0.0938293291631409,49.5588235294118,35.1437699680511,73.6486486486486,9.57542908762421,47.3351400180668,32.2436849925706,72.2543352601156,7.86764705882353,31.5206445115811,37.8089887640449,50.0,51.1470985155196,0.102746176985998,0.066214202946532,70.2181,70.1745,109.416,113.035,100.974,96.9911,67.1833,65.5765,111.821,116.067,94.6157,91.2261,2022-1314-1417
